,genre,total_music,total_artists_followers_media,total_artists_popularity_media,popularity_music_media
9,Rock,204185,1868019.4643583025,44.01531454318388,16.00033792883904
3,Electronic,114236,2785393.74563185,45.68558072761651,18.023136314296718
7,Pop,83361,4814131.571886133,52.56405273449215,19.411451398135817
5,Hip-Hop,68555,11458040.266165853,57.9608197797389,25.656203048647072
4,Folk,57178,1293884.642572318,47.24544405190807,15.949246213578649
2,Country,52086,1777693.267499904,51.30351725991629,18.76360250355182
8,R&B,34228,4617483.844162674,53.74015425967045,21.872443613415918
1,Classical,25662,1103039.4632140908,40.967071935157044,19.127737510716234
6,Jazz,22293,1353190.8082806263,50.07948683443233,16.33301933342305
0,Blues,17485,1247638.9072347726,45.42842436374035,14.509579639691164
